distance_traveled,trip duration,num_of_passengers,time of day
1159,11.65,1,176.25
332,2.2,1,48.75
1392,19.51,1,258.75
1263,10.8,1,172.5
309,0.45,1,37.5
1180,2.83,1,97.5
454,2.49,1,56.25
1082,5.39,1,105
528,6.2,1,93.75
1191,4.2,1,108.75
1710,7.48,1,153.75
2180,15.14,1,251.25
471,1.93,1,52.5
871,5.07,2,97.5
770,9.99,5,142.5
2195,5.21,1,172.5
930,9.7,1,142.5
1708,14.52,1,213.75
1270,5.15,1,120
433,1.82,2,48.75
415,1.82,1,48.75
1951,8.82,2,300
480,2.72,5,56.25
728,11.18,2,157.5
1587,11.59,1,183.75
432,1.61,1,48.75
2030,7.92,1,161.25
532,1.79,1,56.25
291,1.13,1,37.5
709,3.22,1,75
449,1.74,5,48.75
943,4.3,1,93.75
293,1.16,1,37.5
316,1.82,1,45
62,0.16,1,22.5
559,3.17,1,67.5
411,1.45,1,48.75
1240,17.45,1,337.5
1244,6.52,1,120
607,5.63,2,93.75
735,3.38,1,78.75
666,2.8,1,71.25
456,2,1,52.5
1066,6.07,1,112.5
435,1.93,1,52.5
1808,6.87,2,157.5
492,3.46,1,63.75
907,4.12,1,93.75
369,1.85,1,48.75
140,0.97,2,30
1380,6.6,1,131.25
601,2.32,1,63.75
539,2.7,1,60
51,0.39,1,22.5
4462,18.86,1,375
1485,5.95,1,127.5
1252,13.81,1,195
1151,5.15,1,108.75
655,2.98,1,71.25
363,1.9,1,48.75
1089,8.85,1,150
1445,8.72,1,153.75
746,2.83,1,75
715,2.74,1,71.25
433,1.95,1,48.75
1084,5.04,1,108.75
644,2.57,1,63.75
19,0.29,1,75
1099,4.12,1,101.25
1060,9.48,1,153.75
388,2.01,1,48.75
746,4.23,1,86.25
1469,6.29,5,131.25
840,2.53,5,78.75
2158,12.07,1,210
546,3.91,1,75
415,1.61,1,48.75
1485,14.73,5,210
467,2.08,1,52.5
936,3.33,5,86.25
465,3.49,2,63.75
725,7.24,1,112.5
587,2.8,1,63.75
555,2.57,1,60
616,3.15,1,71.25
925,3.7,1,86.25
802,3.69,1,78.75
973,4.33,1,93.75
823,4.55,1,90
494,2.09,1,56.25
937,11.64,1,165
856,2.75,6,78.75
1032,5.02,1,105
387,2,1,48.75
826,7.26,1,116.25
610,3.33,1,75
843,4.18,1,86.25
422,1.8,1,48.75
1230,4.46,1,105
665,3.54,1,75
1050,5.75,1,108.75
764,2.45,1,67.5
986,11.14,1,161.25
1411,4.46,1,120
1433,7.1,6,135
288,1.92,1,45
84860,1.43,1,52.5
1169,6.31,3,120
441,2.11,1,52.5
814,4.55,1,90
377,1.45,1,45
670,2.49,1,67.5
316,1.67,1,90
345,1.03,1,41.25
944,2.9,1,75
514,2.35,1,56.25
277,2.04,1,45
1667,12.44,1,198.75
1005,5.78,1,108.75
1859,5.47,1,153.75
373,1.9,2,45
1853,9.67,1,168.75
1256,4.59,1,112.5
847,2.72,1,78.75
1447,17.62,1,240
467,2.64,1,60
1284,6.55,1,127.5
230,1.21,1,37.5
393,1.85,1,45
855,4.44,1,86.25
338,1.54,1,41.25
304,2.32,1,75
1058,3.22,1,93.75
978,3.65,5,90
1135,4.31,1,105
475,2.03,1,56.25
519,2.12,1,56.25
887,4.47,1,93.75
731,5.09,1,90
491,3.56,1,67.5
181,0.9,1,30
959,13.87,1,187.5
1024,7.89,1,120
787,3.96,2,82.5
1114,11.27,1,161.25
1046,3.54,1,90
741,3.73,1,82.5
715,2.04,1,67.5
3446,27.07,1,393.75
1190,5.41,1,116.25
843,8.24,1,127.5
738,2.56,1,71.25
314,1.45,1,45
681,2.27,1,63.75
819,4.35,1,86.25
2190,6.32,1,172.5
1225,11.1,1,176.25
744,2.66,1,75
252,1.29,1,37.5
532,1.82,1,56.25
385,2.62,1,56.25
872,3.85,1,90
1344,6.61,6,131.25
929,4.52,1,97.5
394,1.4,1,45
1046,2.78,2,75
3524,20.58,1,341.25
684,8.51,1,127.5
913,5.52,1,101.25
116,0.16,1,22.5
865,2.93,1,78.75
1321,6.61,1,127.5
616,2.9,1,67.5
583,2.24,1,60
686,2.62,5,67.5
435,1.96,1,52.5
683,3.17,3,71.25
445,2.16,1,52.5
739,3.2,1,75
1563,10.44,1,183.75
1774,9.25,1,180
1396,8.21,1,142.5
1058,3.7,1,93.75
311,1.42,1,41.25
659,3.25,1,67.5
602,2.82,1,67.5
473,1.59,1,52.5
365,1.67,1,45
569,2.09,1,56.25
1506,5.36,1,127.5
676,6.82,1,112.5
2012,7.24,1,165
518,2.03,1,56.25
1015,4.83,1,97.5
885,5.07,2,97.5
184,0.77,2,30
828,13.24,1,176.25
1227,6.94,2,123.75
4339,8.19,2,303.75
815,7.95,1,127.5
633,4.01,1,78.75
809,3.99,1,86.25
529,2.03,1,60
416,3.17,1,63.75
681,4.39,1,82.5
264,1.3,1,37.5
617,3.59,1,71.25
1436,18.85,2,255
2438,2.86,1,180
4016,12.92,1,326.25
1339,4.89,1,112.5
741,2.37,1,71.25
560,1.83,1,56.25
2,2.9,1,18.75
1506,5.15,1,127.5
343,1.61,1,45
490,3.01,1,63.75
1213,4.73,1,112.5
1833,5.79,2,150
1600,5.15,1,135
714,2.83,6,71.25
1117,5.79,1,112.5
1074,3.14,1,90
595,1.74,1,60
476,2.49,1,56.25
318,1.58,1,41.25
659,4.06,1,78.75
3266,30.14,1,408.75
221,1.66,1,37.5
563,3.01,1,67.5
1888,7.24,1,161.25
958,6.49,5,112.5
397,2.03,1,52.5
531,2.32,4,60
1827,11.14,1,187.5
433,3.86,1,63.75
671,1.42,1,60
15,2.9,1,18.75
392,1.32,1,45
2225,10.99,1,217.5
357,1.98,1,45
864,2.78,1,75
486,2.09,3,52.5
698,5.13,1,90
687,3.59,1,78.75
742,4.1,1,86.25
795,2.41,1,71.25
955,13.78,1,180
1076,5.04,1,108.75
1181,12.15,1,176.25
1570,3.59,1,127.5
859,3.51,1,82.5
2112,16.58,1,243.75
934,3.22,1,86.25
278,1.06,1,37.5
264,0.97,1,37.5
1493,5.21,1,131.25
1024,9.32,1,142.5
1271,5.38,2,116.25
702,3.73,1,75
1187,13.15,1,195
416,3.11,1,56.25
483,3.06,1,60
450,1.4,1,48.75
435,1.27,6,48.75
370,2.16,1,48.75
2587,8.92,1,202.5
279,1.54,1,41.25
1276,9.82,1,165
637,4.75,1,82.5
886,6.6,1,112.5
1738,7.11,1,150
321,0.69,2,37.5
1224,7.16,2,131.25
288,1,1,37.5
612,2.09,1,63.75
1890,17.59,1,262.5
836,4.83,6,97.5
832,4.38,1,90
200,1.29,2,33.75
496,1.95,2,56.25
887,4.35,1,93.75
314,1.19,1,41.25
644,2.98,1,67.5
1520,10.86,1,180
144,0.42,6,26.25
187,0.68,1,30
440,1.93,2,52.5
1154,5.7,1,112.5
409,3.22,1,63.75
193,0.87,1,33.75
817,3.36,1,82.5
704,3.38,1,78.75
1403,4.78,1,116.25
3,0.02,1,69.75
335,1.45,1,41.25
423,1.51,1,48.75
761,4.73,1,150
187,0.72,6,30
1227,12.87,1,187.5
823,3.86,1,86.25
85999,5.41,2,262.5
505,2.12,1,56.25
484,1.92,1,52.5
318,2,1,45
993,6.13,1,112.5
1371,7.47,2,142.5
370,1.88,1,48.75
199,0.9,1,30
452,2.78,1,56.25
439,2.46,1,56.25
896,7.82,1,123.75
1333,6.81,1,127.5
904,3.14,1,82.5
1433,6.44,1,127.5
1147,11.14,1,161.25
1100,4.39,1,105
1426,6.76,1,135
1678,15.72,1,236.25
578,1.64,1,56.25
494,2.62,1,56.25
1810,4.12,1,142.5
504,3.49,1,67.5
236,0.95,1,33.75
13,1.29,1,18.75
1841,11.14,1,187.5
701,3.99,2,75
1420,5.84,1,127.5
179,0.97,1,33.75
132,0.9,1,30
125,0.53,1,26.25
371,2.25,1,52.5
508,2.09,1,52.5
694,1.43,1,60
1707,6.5,2,150
1428,10.43,1,180
1552,8.61,1,161.25
457,1.96,1,48.75
1059,5.04,1,108.75
933,3.01,1,86.25
2331,21.87,1,311.25
590,3.06,2,67.5
881,2.53,6,78.75
826,4.1,1,86.25
1099,12.84,1,615
2131,6.95,1,165
2395,14.02,1,247.5
496,1.92,1,56.25
228,0.71,1,33.75
276,1.32,1,41.25
626,2.35,2,60
631,1.5,1,60
373,1.21,1,45
598,2.16,1,60
773,2.41,1,71.25
96,1.06,1,30
1046,4.39,1,101.25
2402,11.8,1,225
637,1.63,1,60
999,2.82,1,86.25
1439,4.36,2,116.25
1130,4.96,1,108.75
487,1.38,1,48.75
1094,4.78,1,105
216,1.45,1,37.5
195,0.97,1,33.75
1001,4.17,1,93.75
1049,12.2,1,168.75
936,4.22,1,93.75
748,4.18,1,82.5
662,2.74,1,67.5
83458,3.17,1,75
752,4.39,1,90
450,2.48,1,56.25
1136,3.3,5,86.25
661,3.67,1,75
515,2.56,1,63.75
879,5.54,1,97.5
1099,3.99,1,101.25
770,6.6,3,105
702,3.38,1,75
897,3.91,1,90
761,3.01,1,75
974,4.01,1,97.5
734,2.7,1,71.25
795,8.61,1,131.25
1057,2.57,1,86.25
401,1.45,1,45
1102,4.51,1,105
873,9.03,1,135
544,1.83,1,56.25
478,3.41,1,63.75
565,1.87,1,56.25
525,2.59,1,60
472,2.53,1,56.25
471,1.13,1,48.75
240,2.12,1,41.25
758,1.59,1,67.5
351,1.29,1,45
1025,12.79,1,176.25
677,2.49,1,67.5
1945,4.67,2,150
512,2.54,1,56.25
1048,5.63,2,112.5
602,2.12,1,60
1458,5.63,1,131.25
319,1.14,1,41.25
504,2.86,1,63.75
960,12.47,1,172.5
284,1.45,1,41.25
379,1.48,1,45
1670,8.95,1,157.5
445,3.15,1,60
870,2.77,1,78.75
262,1.24,1,37.5
817,2.01,1,71.25
684,2.93,1,71.25
292,1.21,1,41.25
429,1.79,1,52.5
1050,3.98,1,90
251,1.14,1,37.5
707,2.19,1,67.5
443,1.61,1,48.75
1204,4.8,1,108.75
511,1.75,1,52.5
135,0.53,1,26.25
2802,45.46,6,701.25
611,2.4,1,63.75
1369,3.38,1,116.25
955,17.24,1,221.25
2687,23.64,1,345
415,1.87,1,48.75
654,2.59,1,67.5
2251,10.65,1,198.75
2540,12.23,1,243.75
328,0.97,1,41.25
331,1.69,1,45
2195,5.57,1,176.25
396,1.77,1,48.75
1128,3.54,1,112.5
632,2.53,1,67.5
1370,4.43,1,116.25
967,3.15,1,86.25
2516,11.91,1,228.75
159,1.29,1,33.75
733,3.25,1,75
325,1.77,2,45
892,4.96,1,97.5
326,0.74,1,41.25
928,4.09,1,90
248,1.53,6,41.25
1423,15.37,2,221.25
476,1.46,1,52.5
410,1.69,1,48.75
559,2.54,1,60
426,1.45,1,48.75
290,1.29,1,41.25
502,2.27,1,60
715,3.54,1,75
772,4.14,1,82.5
1329,6.26,1,127.5
494,1.88,1,52.5
1991,7.66,1,161.25
1081,6.57,1,112.5
1806,8.51,1,165
444,1.77,1,48.75
442,1.26,1,48.75
1890,4.6,1,146.25
1012,3.01,1,90
521,1.42,1,52.5
1226,9.64,1,153.75
1738,7.5,1,153.75
1143,6.12,1,112.5
566,3.22,1,71.25
1138,7.97,1,142.5
696,3.03,1,71.25
632,2.78,1,67.5
953,5.79,1,105
1229,5.65,1,120
780,4.39,1,86.25
1322,12.94,1,282.75
486,2.38,1,56.25
1078,3.33,1,93.75
121,0.6,2,26.25
785,1.61,1,67.5
814,3.38,1,78.75
659,2.61,1,67.5
1209,4.68,1,108.75
250,1.26,1,37.5
952,3.77,1,90
28750,16.98,1,277.5
735,1.92,1,67.5
346,2.17,1,48.75
760,4.04,1,78.75
341,1.01,1,41.25
1429,7.9,1,153.75
334,2.04,1,48.75
333,1.43,1,41.25
280,2.12,1,45
1431,5.1,3,67.5
957,3.54,2,86.25
439,1.77,1,48.75
955,9.91,2,142.5
179,0.72,1,30
1016,4.2,5,97.5
409,2.32,1,52.5
5276,16.22,1,390
254,1.06,1,37.5
1134,4.81,1,101.25
1037,10.62,1,161.25
209,2.74,1,48.75
796,2.57,1,71.25
214,1.14,1,33.75
318,1.38,1,562.5
741,4.23,1,82.5
1113,16.24,1,225
1848,27.05,1,375
1173,7.4,1,127.5
1117,4.99,1,108.75
431,2.2,1,52.5
647,2.22,1,63.75
3796,7.9,1,281.25
937,3.62,1,90
178,0.77,1,30
436,2.04,1,48.75
654,2.57,1,67.5
549,3.17,1,67.5
983,3.19,2,90
453,2.43,1,56.25
273,1.06,2,37.5
754,1.61,1,67.5
1126,10.81,6,168.75
869,3.22,1,82.5
1176,5.71,1,112.5
663,2.96,1,67.5
1225,5.34,1,116.25
765,3.67,1,78.75
806,7.39,1,116.25
2100,15.1,1,247.5
741,2.9,1,71.25
761,4.47,2,90
1158,4.83,2,112.5
903,5.47,1,101.25
713,3.22,1,75
728,2.03,5,67.5
1339,13.84,1,195
568,2.41,1,60
93,0.6,1,26.25
1066,2.67,1,86.25
47406,6.12,1,93.75
652,2.95,1,67.5
409,1.72,1,48.75
500,1.87,1,56.25
895,3.7,1,90
2169,10.69,1,198.75
892,3.38,1,86.25
608,4.83,1,75
319,1.03,2,41.25
567,6.34,1,97.5
1422,9.95,1,161.25
360,1.51,1,45
831,3.48,2,82.5
2059,10.04,1,202.5
397,2.06,1,52.5
576,6.49,1,101.25
1058,5.31,2,101.25
1397,6.26,2,135
575,6.44,1,101.25
343,1.92,1,48.75
1279,5.01,2,112.5
61,0.16,2,22.5
470,2.54,1,56.25
1386,5.79,1,123.75
521,2.41,5,60
653,3.59,1,78.75
644,2.37,1,63.75
1618,16.17,2,427.5
750,3.06,1,71.25
715,2.48,1,71.25
1040,7.02,1,120
878,4.06,1,86.25
509,2.25,1,56.25
654,2.88,1,67.5
384,1.8,1,48.75
579,1.51,1,56.25
510,2.25,1,56.25
1728,8.72,1,172.5
2712,13.24,1,243.75
848,1.05,1,71.25
1140,10.2,1,153.75
324,0.98,1,37.5
502,2.09,1,56.25
563,1.71,2,52.5
1089,6.92,1,116.25
1237,4.3,1,101.25
1014,4.59,1,97.5
1129,3.85,1,105
538,1.93,1,56.25
1229,4.72,1,112.5
851,2.27,1,75
1026,6,5,108.75
278,2.09,1,45
552,2.32,2,56.25
646,4.36,1,78.75
951,6.76,5,116.25
1388,6.32,1,123.75
1061,9.01,1,142.5
474,2.35,1,56.25
791,6.28,5,101.25
1679,10.14,2,176.25
1113,12.6,1,183.75
689,5.83,1,101.25
258,2.16,1,45
754,3.15,1,75
1897,7.48,1,153.75
1030,3.6,1,93.75
770,4.06,1,82.5
